"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 20 02:42:16 GMT 2021","Fri Aug 20 02:42:37 GMT 2021","21004","","","","","","Inclusão de produtos no cartrinho, inserindo resultados em uma planilha",""
"passed","Fri Aug 20 02:41:04 GMT 2021","Fri Aug 20 02:41:28 GMT 2021","23162","","Inclusão de produtos Automationpractice","","","","Inclusão de produto no carrinho com conclusão de pedido",""
"passed","Fri Aug 20 02:41:28 GMT 2021","Fri Aug 20 02:41:36 GMT 2021","8547","","Inclusão de produtos Automationpractice","","","","Inclusão de um produto no carrinho com exclusão de produto",""
"passed","Fri Aug 20 02:41:36 GMT 2021","Fri Aug 20 02:41:54 GMT 2021","18082","","Inclusão de produtos Automationpractice","","","","Inclusão de produto no carrinho com escolha de mais produtos",""
